time,temperature,humidity
2021-10-13T00:20:43Z,19.2,53.8
2021-10-13T00:20:44Z,19.2,53.8
2021-10-13T00:20:45Z,19.2,53.8
2021-10-13T00:20:46Z,19.2,53.8
2021-10-13T00:20:47Z,19.2,53.8
2021-10-13T00:20:48Z,19.2,53.8
2021-10-13T00:20:49Z,19.1,53.8
2021-10-13T00:20:50Z,19.1,53.8
2021-10-13T00:20:51Z,19.2,53.8
2021-10-13T00:20:52Z,19.2,53.8
2021-10-13T00:20:53Z,19.1,53.8
2021-10-13T00:20:54Z,19.1,53.8
2021-10-13T00:20:55Z,19.2,53.8
2021-10-13T00:20:56Z,19.2,53.8
2021-10-13T00:20:57Z,19.2,53.8
2021-10-13T00:20:58Z,19.2,53.8
2021-10-13T00:20:59Z,19.2,53.8
2021-10-13T00:21:00Z,19.2,53.8
2021-10-13T00:21:01Z,19.2,53.8
2021-10-13T00:21:02Z,19.2,53.8
2021-10-13T00:21:03Z,19.2,53.8
2021-10-13T00:21:04Z,19.2,53.8
2021-10-13T00:21:05Z,19.2,53.8
2021-10-13T00:21:06Z,19.2,53.8
2021-10-13T00:21:07Z,19.2,53.8
2021-10-13T00:21:08Z,19.2,53.8
2021-10-13T00:21:09Z,19.3,53.9
2021-10-13T00:21:10Z,19.3,53.9
2021-10-13T00:21:11Z,19.1,53.8
2021-10-13T00:21:12Z,19.1,53.8
2021-10-13T00:21:13Z,19.2,53.8
2021-10-13T00:21:14Z,19.15,53.8
2021-10-13T00:21:15Z,19.15,53.8
2021-10-13T00:21:16Z,19.1,53.8
2021-10-13T00:21:17Z,19.0,53.7
2021-10-13T00:21:18Z,19.0,53.7
2021-10-13T00:21:19Z,19.2,53.8
2021-10-13T00:21:20Z,19.2,53.8
2021-10-13T00:21:21Z,19.2,53.8
2021-10-13T00:21:22Z,19.1,53.8
2021-10-13T00:21:23Z,19.1,53.8
2021-10-13T00:21:24Z,19.2,53.8
2021-10-13T00:21:25Z,19.2,53.8
2021-10-13T00:21:26Z,19.3,53.9
2021-10-13T00:21:27Z,19.3,53.9
2021-10-13T00:21:28Z,19.2,53.8
2021-10-13T00:21:29Z,19.2,53.8
2021-10-13T00:21:30Z,19.2,53.9
2021-10-13T00:21:31Z,19.2,53.9
2021-10-13T00:21:32Z,19.1,53.8
2021-10-13T00:21:33Z,19.1,53.8
2021-10-13T00:21:34Z,19.2,53.9
2021-10-13T00:21:35Z,19.2,53.9
2021-10-13T00:21:36Z,19.1,53.8
2021-10-13T00:21:37Z,19.1,53.8
2021-10-13T00:21:38Z,19.1,53.8
2021-10-13T00:21:39Z,19.1,53.8
2021-10-13T00:21:40Z,19.3,53.9
2021-10-13T00:21:41Z,19.3,53.9
2021-10-13T00:21:42Z,19.2,53.8
2021-10-13T00:21:43Z,19.2,53.8
2021-10-13T00:21:44Z,19.2,53.8
